;X1;X2;X3;X4;X5;X6;X7;X8;Umbral
Prueba 1;0,600441316;0,427378328;0,1768439;0,072218889;0,402865197;0,18146839;0,13085367;0,481004129;-0,283988103
Prueba 2;0,143889425;0,42723111;0,01235476;0,164464182;0,418594998;0,028069402;0,025555218;0,268783044;0,051173299
Prueba 3;0,724454845;0,545370649;0,272093383;-0,077543625;0,164204629;0,165797979;0,188246921;0,511775728;-0,282668247
Prueba 4;0,718087712;0,48229705;0,194813853;-0,124866757;0,150266156;0,121106292;0,116907743;0,550300908;-0,146904367
Prueba 5;0,710061228;0,474563881;0,189303041;-0,135907851;0,147852779;0,113873009;0,107401207;0,550038817;-0,127128955
Prueba 6;0,647312895;0,470190867;0,223020283;-0,176439716;0,147973649;0,099164403;0,097753135;0,507950767;-0,097012653
Prueba 7;0,481423554;0,311421994;0,094571202;0,001821615;0,457465359;0,116020012;0,005745715;0,467384793;-0,075016986
Prueba 8;0,787759671;0,426900151;0,14090798;-0,092593803;0,1570137;0,13804955;0,167281271;0,612714827;-0,24454016
Prueba 9;0,622168397;0,443413395;0,203004159;-0,217684521;0,137437173;0,07323121;0,06266496;0,510359388;-0,020430601
Prueba 10;0,693583298;0,514010725;0,2502556;-0,117496908;0,158829306;0,138684917;0,15019368;0,511753876;-0,204166817
Prueba 11;0,684332795;0,506793107;0,247197419;-0,125795955;0,157957245;0,13252151;0,142649676;0,508921502;-0,190547285
Prueba 12;0,659683417;0,481729386;0,230010276;-0,160901868;0,150873603;0,109605613;0,111487201;0,50918567;-0,124943256
Prueba 13;0,746914122;0,567233888;0,286189935;-0,046378779;0,171017455;0,186139593;0,215158669;0,512690712;-0,338899037
Prueba 14;0,665632021;0,488100256;0,235106686;-0,158338867;0,147090058;0,112850337;0,117960033;0,509309953;-0,136155562
Prueba 15;0,669434502;0,491286374;0,233526613;-0,103722505;0,191660502;0,135883464;0,134272467;0,505332065;-0,190992054
Prueba 16;0,533325403;0,362893724;0,15529923;-0,308282191;0,133019026;0,007313315;-0,027877024;0,49770347;0,15550964
Prueba 17;0,774568269;0,597080893;0,309146819;-0,035760864;0,152260384;0,20072011;0,244612414;0,513788172;-0,388255247
Prueba 18;0,706537646;0,533176162;0,265295297;-0,066967173;0,183430425;0,164407776;0,181699921;0,501292104;-0,280201158
Prueba 19;0,575654498;0,403916294;0,180417028;-0,233780054;0,159651506;0,051877079;0,026631159;0,498089617;0,035125459
Prueba 20;0,714738087;0,53978312;0,269417572;-0,067665468;0,177813151;0,167184116;0,186867096;0,505967766;-0,288051351
Prueba 21;0,717937169;0,482152053;0,194709392;-0,125057819;0,150234722;0,120977526;0,116732988;0,550294403;-0,146547356
